! Data file: C:\!Dane\XRD_Lukasz\2021\LFCS\Grupa03\Magnetyt_oil_700+1000rpm_10+10min_long.xrdml
! Format:      13
! position      background_value
       13.55950    13137.33400
       15.33089    18502.33400
       20.57823    15413.33400
       22.31620     9270.33398
       24.12102     5941.66699
       25.85899     4251.00000
       27.59697     3323.66675
       29.30152     2989.66675
       31.07291     2612.66675
       32.97799     2446.00000
       36.45394     2639.33350
       37.85769     2409.00000
       38.76009     2440.00000
       40.33095     2358.66675
       41.96866     2302.33350
       45.04353     1892.66675
       46.34701     1734.33337
       48.82028     1450.66675
       50.55825     1341.33337
       51.92857     1257.66675
       52.63045     1277.66675
       55.43794     1095.00000
       56.03954     1176.66675
       59.28153     1012.33337
       60.51817      948.33337
       61.25346     1000.00000
       64.19464      880.33337
       66.43395      823.66669
       68.13850      748.33337
       68.47272      748.66669
       71.54760      804.33337
       72.71739      796.33337
       75.22408      871.66669
       76.89521      700.66669
       77.36312      676.33337
       80.10378      669.33337
       81.24014      655.00000
       83.81367      614.33337
       85.68533      631.00000
       87.59042      611.66669
       87.89122      595.66669
       91.03294      563.66669
       92.43669      539.66669
       92.97145      543.00000
       96.41397      527.66669
       96.48081      502.66669
       99.08778      486.33334
