! Data file: C:\!Dane\XRD_Lukasz\2021\LFCS\Grupa05\ZnO_raw.xrdml
! Format:      13
! position      background_value
       20.45100       19.00000
       23.39219       16.33333
       23.89353       22.33333
       25.93230       15.66667
       28.27188       14.66667
       29.40825       20.66667
       32.95103       23.00000
       33.05130       23.33333
       35.39088       33.33334
       38.46575       21.33333
       40.07003       21.00000
       41.50720       21.66667
       42.54330       22.66667
       45.71844       17.66667
       46.11951       23.00000
       49.29465       22.33333
       51.23316       28.00000
       53.13824       19.00000
       54.67568       26.00000
       55.37756       23.00000
       58.28532       24.00000
       60.25725       27.33333
       61.96180       27.33333
       63.96715       20.33333
       65.53801       25.00000
       66.74122       33.33334
       69.71583       21.00000
       71.32011       21.33333
       71.98856       23.00000
       74.56210       19.33333
       75.56477       19.33333
       78.53938       18.66667
       79.37494       19.33333
       82.55008       23.33333
       83.21853       21.66667
       86.12629       24.66667
       87.69715       17.66667
       88.76667       23.33333
       91.07282       23.00000
       93.51267       21.66667
       94.71588       24.33333
       96.92177       21.66667
       99.49531       25.00000
       99.66241       18.33333
      102.57018       25.33333
      104.77607       22.66667
      106.81484       23.00000
      107.98463       32.33334
      109.32153       23.33333
      112.53010       28.66667
      113.26539       22.00000
      115.33759       31.33333
      117.84428       23.33333
      118.44588       21.33333
