! XYN file created by WinPLOTR
!            X_1            Yobs
        20.02960        16.00000
        20.06300        25.00000
        20.09650        27.00000
        20.12990        20.00000
        20.16330        16.00000
        20.19669        17.00000
        20.23009        20.00000
        20.26359        20.00000
        20.29699        20.00000
        20.33039        16.00000
        20.36379        27.00000
        20.39729        18.00000
        20.43069        22.00000
        20.46409        12.00000
        20.49749        23.00000
        20.53099        16.00000
        20.56439        27.00000
        20.59779        17.00000
        20.63118        21.00000
        20.66459        17.00000
        20.69808        17.00000
        20.73148        16.00000
        20.76488        20.00000
        20.79828        25.00000
        20.83178        20.00000
        20.86518        13.00000
        20.89858        16.00000
        20.93198        15.00000
        20.96538        26.00000
        20.99888        27.00000
        21.03228        30.00000
        21.06568        22.00000
        21.09908        17.00000
        21.13257        22.00000
        21.16598        20.00000
        21.19937        18.00000
        21.23277        12.00000
        21.26617        27.00000
        21.29967        15.00000
        21.33307        22.00000
        21.36647        13.00000
        21.39987        12.00000
        21.43337        12.00000
        21.46677        20.00000
        21.50017        15.00000
        21.53357        16.00000
        21.56697        18.00000
        21.60047        12.00000
        21.63386        23.00000
        21.66726        23.00000
        21.70066        25.00000
        21.73416        17.00000
        21.76756        23.00000
        21.80096        17.00000
        21.83436        25.00000
        21.86786        22.00000
        21.90126        22.00000
        21.93466        20.00000
        21.96806        23.00000
        22.00146        15.00000
        22.03496        20.00000
        22.06835        23.00000
        22.10175        18.00000
        22.13515        23.00000
        22.16865        23.00000
        22.20205        17.00000
        22.23545        18.00000
        22.26885        17.00000
        22.30225        23.00000
        22.33575        16.00000
        22.36915        13.00000
        22.40255        23.00000
        22.43595        30.00000
        22.46945        21.00000
        22.50284        13.00000
        22.53624        23.00000
        22.56964        15.00000
        22.60304        20.00000
        22.63654        18.00000
        22.66994        21.00000
        22.70334        25.00000
        22.73674        32.00000
        22.77024        28.00000
        22.80364        23.00000
        22.83704        25.00000
        22.87044        13.00000
        22.90393        18.00000
        22.93733        15.00000
        22.97074        21.00000
        23.00413        16.00000
        23.03753        26.00000
        23.07103        21.00000
        23.10443        20.00000
        23.13783        35.00000
        23.17123        13.00000
        23.20473        23.00000
        23.23813        16.00000
        23.27153        28.00000
        23.30493        17.00000
        23.33833        22.00000
        23.37183        21.00000
        23.40522         8.00000
        23.43862        20.00000
        23.47202        20.00000
        23.50552        21.00000
        23.53892        13.00000
        23.57232        12.00000
        23.60572        21.00000
        23.63912        17.00000
        23.67262        21.00000
        23.70602        32.00000
        23.73942        22.00000
        23.77282        21.00000
        23.80631        21.00000
        23.83971        27.00000
        23.87311        28.00000
        23.90651        13.00000
        23.93991        26.00000
        23.97341        23.00000
        24.00681        23.00000
        24.04021        26.00000
        24.07361        28.00000
        24.10711        18.00000
        24.14051        22.00000
        24.17391        22.00000
        24.20730        16.00000
        24.24080        28.00000
        24.27420        30.00000
        24.30760        26.00000
        24.34100        23.00000
        24.37440        22.00000
        24.40790        13.00000
        24.44130        13.00000
        24.47470        15.00000
        24.50810        25.00000
