sg_window,sg_poly,prominence,distance,n_peaks,score,mean_prominence,tp,fp,fn,precision,recall,f1,mae,tol_abs,peaks_diff
101,3,0.12,40,38,0.6060606060606061,34.89669083364404,20,18,8,0.5263157894736842,0.7142857142857143,0.6060606060606061,4.25,15,10
81,2,0.09,40,48,0.6052631578947368,31.777239410209788,23,25,5,0.4791666666666667,0.8214285714285714,0.6052631578947368,5.260869565217392,15,20
81,2,0.12,40,48,0.6052631578947368,31.777239410209788,23,25,5,0.4791666666666667,0.8214285714285714,0.6052631578947368,5.260869565217392,15,20
81,2,0.05,40,49,0.5974025974025974,31.130195741463286,23,26,5,0.46938775510204084,0.8214285714285714,0.5974025974025974,5.260869565217392,15,21
81,2,0.07,40,49,0.5974025974025974,31.130195741463286,23,26,5,0.46938775510204084,0.8214285714285714,0.5974025974025974,5.260869565217392,15,21
81,3,0.09,40,49,0.5974025974025974,31.192325190116946,23,26,5,0.46938775510204084,0.8214285714285714,0.5974025974025974,5.260869565217392,15,21
81,3,0.12,40,49,0.5974025974025974,31.192325190116946,23,26,5,0.46938775510204084,0.8214285714285714,0.5974025974025974,5.260869565217392,15,21
101,2,0.12,40,39,0.5970149253731343,33.64110914922179,20,19,8,0.5128205128205128,0.7142857142857143,0.5970149253731343,4.65,15,11
101,2,0.12,30,43,0.5915492957746479,30.52353297140095,21,22,7,0.4883720930232558,0.75,0.5915492957746479,5.0,15,15
81,3,0.05,40,50,0.5897435897435898,30.569920679147227,23,27,5,0.46,0.8214285714285714,0.5897435897435898,5.260869565217392,15,22
81,3,0.07,40,50,0.5897435897435898,30.569920679147227,23,27,5,0.46,0.8214285714285714,0.5897435897435898,5.260869565217392,15,22
81,2,0.12,30,50,0.5897435897435898,30.520931223514502,23,27,5,0.46,0.8214285714285714,0.5897435897435898,5.304347826086956,15,22
101,3,0.09,40,40,0.588235294117647,33.157135399321035,20,20,8,0.5,0.7142857142857143,0.588235294117647,4.25,15,12
101,2,0.07,30,47,0.5866666666666668,27.9332777900521,22,25,6,0.46808510638297873,0.7857142857142857,0.5866666666666668,4.818181818181818,15,19
41,2,0.12,40,54,0.5853658536585367,41.70097113397722,24,30,4,0.4444444444444444,0.8571428571428571,0.5853658536585367,3.1666666666666665,15,26
41,3,0.12,40,54,0.5853658536585367,41.77480183690309,24,30,4,0.4444444444444444,0.8571428571428571,0.5853658536585367,3.1666666666666665,15,26
101,3,0.12,30,44,0.5833333333333334,30.15996798840125,21,23,7,0.4772727272727273,0.75,0.5833333333333334,4.619047619047619,15,16
101,2,0.09,30,44,0.5833333333333334,29.83240628836868,21,23,7,0.4772727272727273,0.75,0.5833333333333334,5.0,15,16
81,2,0.03,40,51,0.5822784810126583,29.910802383726363,23,28,5,0.45098039215686275,0.8214285714285714,0.5822784810126583,5.260869565217392,15,23
81,3,0.12,30,51,0.5822784810126583,29.983588309831088,23,28,5,0.45098039215686275,0.8214285714285714,0.5822784810126583,5.304347826086956,15,23
101,3,0.07,40,41,0.5797101449275363,32.35049887200396,20,21,8,0.4878048780487805,0.7142857142857143,0.5797101449275363,4.25,15,13
101,2,0.09,40,41,0.5797101449275363,32.005229783268724,20,21,8,0.4878048780487805,0.7142857142857143,0.5797101449275363,4.65,15,13
101,3,0.07,30,48,0.5789473684210527,27.65397353858047,22,26,6,0.4583333333333333,0.7857142857142857,0.5789473684210527,4.454545454545454,15,20
51,2,0.12,40,55,0.5783132530120482,36.453610995674005,24,31,4,0.43636363636363634,0.8571428571428571,0.5783132530120482,2.9583333333333335,15,27
41,2,0.09,40,55,0.5783132530120482,40.94475449460236,24,31,4,0.43636363636363634,0.8571428571428571,0.5783132530120482,3.1666666666666665,15,27
41,3,0.09,40,55,0.5783132530120482,41.01724282111139,24,31,4,0.43636363636363634,0.8571428571428571,0.5783132530120482,3.1666666666666665,15,27
101,3,0.09,30,45,0.5753424657534245,29.492278897947468,21,24,7,0.4666666666666667,0.75,0.5753424657534245,4.619047619047619,15,17
101,2,0.12,20,52,0.575,25.30396588597341,23,29,5,0.4423076923076923,0.8214285714285714,0.575,4.260869565217392,15,24
81,3,0.03,40,52,0.575,29.395526234532788,23,29,5,0.4423076923076923,0.8214285714285714,0.575,5.260869565217392,15,24
21,2,0.12,40,56,0.5714285714285714,55.777451179059014,24,32,4,0.42857142857142855,0.8571428571428571,0.5714285714285714,1.375,15,28
51,2,0.09,40,56,0.5714285714285714,35.804552259607384,24,32,4,0.42857142857142855,0.8571428571428571,0.5714285714285714,2.9583333333333335,15,28
51,3,0.12,40,56,0.5714285714285714,36.01541511650846,24,32,4,0.42857142857142855,0.8571428571428571,0.5714285714285714,2.9583333333333335,15,28
41,2,0.07,40,56,0.5714285714285714,40.21493933564693,24,32,4,0.42857142857142855,0.8571428571428571,0.5714285714285714,3.1666666666666665,15,28
41,3,0.07,40,56,0.5714285714285714,40.28613322775403,24,32,4,0.42857142857142855,0.8571428571428571,0.5714285714285714,3.1666666666666665,15,28
101,3,0.05,40,42,0.5714285714285714,31.581660049895525,20,22,8,0.47619047619047616,0.7142857142857143,0.5714285714285714,4.25,15,14
101,2,0.09,20,56,0.5714285714285714,23.504174378237487,24,32,4,0.42857142857142855,0.8571428571428571,0.5714285714285714,4.25,15,28
101,2,0.07,40,42,0.5714285714285714,31.245225211746156,20,22,8,0.47619047619047616,0.7142857142857143,0.5714285714285714,4.65,15,14
101,2,0.05,30,49,0.5714285714285714,26.795671852958552,22,27,6,0.4489795918367347,0.7857142857142857,0.5714285714285714,4.818181818181818,15,21
101,3,0.12,20,53,0.5679012345679013,25.097447880961305,23,30,5,0.4339622641509434,0.8214285714285714,0.5679012345679013,3.9130434782608696,15,25
81,2,0.09,30,53,0.5679012345679013,28.7990550828402,23,30,5,0.4339622641509434,0.8214285714285714,0.5679012345679013,5.304347826086956,15,25
21,2,0.07,40,57,0.5647058823529412,54.80094867020986,24,33,4,0.42105263157894735,0.8571428571428571,0.5647058823529412,1.375,15,29
21,2,0.09,40,57,0.5647058823529412,54.80094867020986,24,33,4,0.42105263157894735,0.8571428571428571,0.5647058823529412,1.375,15,29
21,3,0.12,40,57,0.5647058823529412,55.15780033976837,24,33,4,0.42105263157894735,0.8571428571428571,0.5647058823529412,1.375,15,29
61,2,0.12,40,57,0.5647058823529412,32.10543955499863,24,33,4,0.42105263157894735,0.8571428571428571,0.5647058823529412,2.5833333333333335,15,29
51,3,0.09,40,57,0.5647058823529412,35.38543102281434,24,33,4,0.42105263157894735,0.8571428571428571,0.5647058823529412,2.9583333333333335,15,29
101,3,0.09,20,57,0.5647058823529412,23.343724154414577,24,33,4,0.42105263157894735,0.8571428571428571,0.5647058823529412,3.9166666666666665,15,29
101,2,0.05,40,43,0.5633802816901409,30.51997040085555,20,23,8,0.46511627906976744,0.7142857142857143,0.5633802816901409,4.65,15,15
31,2,0.12,40,61,0.5617977528089887,42.679028636638236,25,36,3,0.4098360655737705,0.8928571428571429,0.5617977528089887,1.88,15,33
31,3,0.12,40,61,0.5617977528089887,42.73913900985544,25,36,3,0.4098360655737705,0.8928571428571429,0.5617977528089887,1.88,15,33
81,3,0.09,30,54,0.5609756097560976,28.323451148447983,23,31,5,0.42592592592592593,0.8214285714285714,0.5609756097560976,5.304347826086956,15,26
21,3,0.07,40,58,0.5581395348837208,54.20881771623196,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,1.375,15,30
21,3,0.09,40,58,0.5581395348837208,54.20881771623196,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,1.375,15,30
61,2,0.09,40,58,0.5581395348837208,31.553634756684627,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,2.5833333333333335,15,30
61,3,0.12,40,58,0.5581395348837208,31.667642447775975,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,2.5833333333333335,15,30
51,2,0.03,40,58,0.5581395348837208,34.57236671646193,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,2.9583333333333335,15,30
51,2,0.05,40,58,0.5581395348837208,34.57236671646193,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,2.9583333333333335,15,30
51,2,0.07,40,58,0.5581395348837208,34.57236671646193,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,2.9583333333333335,15,30
41,2,0.03,40,58,0.5581395348837208,38.8302493843765,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,3.1666666666666665,15,30
41,2,0.05,40,58,0.5581395348837208,38.8302493843765,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,3.1666666666666665,15,30
41,3,0.03,40,58,0.5581395348837208,38.8989883146868,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,3.1666666666666665,15,30
41,3,0.05,40,58,0.5581395348837208,38.8989883146868,24,34,4,0.41379310344827586,0.8571428571428571,0.5581395348837208,3.1666666666666665,15,30
